Brand;Price;Ram;CPU;GPU;Display;Storage
MSI;117900;32;4491,93;0,00;46,75;2142,86
HP;59999;32;3370,68;0,00;11,53;2142,86
ASUS;89999;8;3370,68;0,00;44,98;2142,86
Acer;167126;16;5139,14;0,00;85,19;2142,86
Acer;176917;16;5139,14;0,00;69,12;2142,86
HP;82900;32;3966,33;0,00;25,99;2142,86
HP;357499;64;4037,04;0,00;28,75;16285,71
HP;227999;64;4037,04;0,00;28,75;4285,71
HP;72900;16;3801,17;0,00;11,55;1097,14
Lenovo;84999;16;3924,67;0,00;28,75;2142,86
Acer;168999;64;4180,51;0,00;46,75;2142,86
ASUS;149999;16;4036,08;0,00;25,99;8571,43
ASUS;69999;12;2849,67;0,00;11,55;548,57
ASUS;69900;16;0,00;0,00;28,75;2142,86
ASUS;64900;12;3811,79;0,00;25,99;2142,86
HP;146900;64;3279,53;0,00;12,68;4285,71
HP;95999;16;3801,17;0,00;28,75;2142,86
ASUS;241900;32;5058,01;0,00;78,02;4285,71
Lenovo;159999;64;4681,43;0,00;28,75;4285,71
HP;83999;20;3138,05;0,00;28,75;2142,86
ASUS;109900;12;3668,64;0,00;46,75;1097,14
HP;192500;32;4180,51;43,79;129,57;2142,86
HP;40599;32;1810,09;2,64;11,53;137,14
HP;64999;12;2718,60;0,00;32,40;1097,14
MSI;84999;8;2375,46;0,00;41,61;1097,14
Acer;150999;24;4681,43;0,00;51,25;2142,86
MSI;196682;16;4491,93;0,00;66,69;2142,86
HP;30900;4;1995,10;2,64;28,75;274,29
Lenovo;299900;32;4681,43;43,79;42,85;4285,71
HP;117599;16;3540,62;52,01;25,99;466,67
ASUS;141900;16;4132,96;0,00;66,69;2142,86
ASUS;139999;32;4491,93;0,00;46,75;2142,86
ASUS;130999;16;0,00;202,74;66,69;1097,14
Razer;164900;16;4697,75;0,00;61,64;2142,86
Acer;92651;16;3668,64;0,00;27,85;1097,14
HP;89900;16;3675,57;0,00;27,85;1097,14
Alienware;275132;32;4681,43;0,00;48,49;2142,86
ASUS;154900;16;0,00;202,74;66,69;2142,86
ASUS;62399;8;0,00;7,57;11,28;1097,14
Dell;169999;8;0,00;0,00;12,68;466,67
ASUS;64999;8;3279,53;0,00;28,75;1097,14
Lenovo;66900;16;3138,05;0,00;32,40;1097,14
Lenovo;149900;16;3540,62;0,00;32,40;1097,14
MSI;174999;32;4491,93;0,00;46,75;8571,43
HP;61900;24;3059,80;0,00;11,28;2142,86
Lenovo;139900;48;3962,12;0,00;28,75;4285,71
ASUS;71199;12;3279,53;0,00;28,75;1097,14
ASUS;67999;36;3059,80;0,00;28,75;2142,86
HP;149900;16;4814,25;0,00;63,19;1097,14
ASUS;55999;8;3059,80;0,00;28,75;1097,14
Acer;84900;16;3577,85;0,00;28,75;1097,14
Acer;113900;12;3540,62;0,00;28,75;1097,14
Lenovo;115999;32;0,00;0,00;32,40;4285,71
ASUS;79999;36;3279,53;0,00;28,75;4285,71
Dell;102899;64;4016,82;0,00;32,40;2142,86
HP;129900;16;3279,53;52,01;25,99;466,67
HP;226900;32;3279,53;52,01;25,99;933,33
ASUS;75900;8;3218,12;0,00;43,99;1097,14
HP;111900;16;3979,73;0,00;25,99;2142,86
ASUS;109900;36;3133,96;0,00;28,75;2142,86
Acer;129900;16;4180,51;0,00;44,55;2142,86
Acer;49900;8;473,23;0,00;28,75;466,67
MSI;144900;16;5157,91;0,00;46,75;1097,14
HP;170900;64;4233,09;0,00;11,55;8571,43
Lenovo;83499;8;3704,22;0,00;32,40;548,57
Lenovo;111499;16;3370,68;0,00;32,40;2142,86
Lenovo;456900;64;3035,95;0,00;28,75;17142,86
Lenovo;93900;36;3279,53;0,00;28,75;4285,71
Lenovo;75900;32;3801,17;0,00;28,75;2142,86
HP;147623;16;0,00;0,00;35,04;548,57
HP;159376;16;0,00;0,00;30,14;548,57
Acer;135999;32;4084,38;0,00;46,75;466,67
Acer;134900;16;4300,12;0,00;66,69;4285,71
Lenovo;33999;4;3059,80;0,00;13,20;274,29
HP;32888;32;1995,10;2,64;11,53;137,14
Lenovo;57900;16;3801,17;0,00;13,20;1097,14
HP;261900;32;5438,96;0,00;61,64;8571,43
HP;92900;20;3279,53;0,00;25,99;2142,86
Lenovo;200900;64;4681,43;0,00;69,12;2142,86
Gigabyte;295400;32;4681,43;0,00;129,57;8571,43
HP;246900;64;5139,14;0,00;61,64;1097,14
HP;223900;16;5139,14;0,00;61,64;1097,14
HP;217900;64;4681,43;0,00;45,85;8571,43
Dell;94900;32;2849,67;0,00;28,75;2142,86
HP;125900;32;4233,09;35,83;28,75;4285,71
HP;134900;64;3279,53;0,00;12,68;4285,71
Aorus;420900;32;4681,43;0,00;90,27;4285,71
Dell;109900;16;3924,67;0,00;30,14;2142,86
HP;226999;40;6008,14;0,00;59,47;8571,43
Acer;68999;16;2797,35;7,31;28,75;2142,86
HP;199900;64;5209,73;0,00;59,47;2142,86
Lenovo;124900;16;3979,73;0,00;59,76;1097,14
