Name;Brand;Price;Ram;CPU;GPU;Display;Storage
HP Chromebook 14 (14-ca051nr);HP;25999;4;0;0;32,40413851;68,57142857
Lenovo IdeaPad Gaming 3i 15;Lenovo;69999;8;3344,807362;0;28,75459559;1097,142857
ASUS ROG Strix G15 Advantage Edition G513;ASUS;148990;32;4221,914683;202,7384825;80,18316702;2142,857143
Acer Nitro 5 (AN515-52);Acer;82600;12;1226,043229;0;28,75459559;548,5714286
Lenovo ThinkPad L490;Lenovo;131674;8;2736,630995;11,87519483;11,52745777;548,5714286
HP 15 (15-dy1008ca);HP;38500;8;2718,602419;0;11,27864112;548,5714286
Acer Nitro 5 (AN515-54);Acer;76185;8;2375,457837;0;28,75459559;1097,142857
Dell Precision 3540;Dell;72677;8;1946,320522;11,87519483;12,67922794;548,5714286
Dell Inspiron 15 3552;Dell;47900;4;0;0,843299605;11,27864112;233,3333333
Dell Inspiron 15 3505;Dell;35900;4;408,6916602;11,04833338;11,27864112;274,2857143
Dell Latitude E7470;Dell;22989;8;0;8,636907077;32,40413851;548,5714286
Dell Latitude 15 5580;Dell;152500;16;0;0;12,67922794;548,5714286
Dell Latitude 5590;Dell;95150;8;2538,096249;11,87519483;28,75459559;233,3333333
HP Chromebook x360 11 G1 EE;HP;42998;4;0;0;25,09967796;137,1428571
HP 17;HP;81900;16;3966,329123;0;25,98752411;1097,142857
Acer Aspire 5;Acer;93900;32;3924,666866;0;28,75459559;2142,857143
Acer Aspire 5;Acer;94900;24;3924,666866;0;28,75459559;2142,857143
ASUS Vivobook 15;ASUS;86999;36;0;0;28,75459559;4285,714286
ASUS Vivobook 17X;ASUS;98999;12;4036,075533;0;25,98752411;1097,142857
ASUS ROG Zephyrus G14;ASUS;197900;32;4346,787533;0;78,02364865;4285,714286
ASUS ZenBook 14;ASUS;114999;16;4036,075533;0;32,40413851;2142,857143
Lenovo ThinkPad T15 Gen 2;Lenovo;136900;40;3540,616004;0;28,75459559;2142,857143
Acer Aspire 5;Acer;169900;36;3540,616004;0;28,75459559;8571,428571
Dell XPS 9520;Dell;236900;32;4681,425152;0;30,95941742;2142,857143
Lenovo ThinkPad T15 Gen 2;Lenovo;195900;24;3540,616004;0;28,75459559;4285,714286
HP 15;HP;154900;16;3279,528958;0;11,27864112;4285,714286
Dell Latitude 3430;Dell;108900;64;3979,729698;0;32,40413851;8571,428571
Dell Inspiron 5625;Dell;109900;16;3924,666866;0;30,1392663;2142,857143
MSI Raider GE77;MSI;235792;32;5069,147109;0;90,27323839;4285,714286
HP 17;HP;119900;16;3279,528958;52,01423462;25,98752411;466,6666667
ASUS TUF Dash F15;ASUS;101888;16;0;0;46,75459559;1097,142857
ASUS Vivobook 17;ASUS;84900;32;2849,668235;0;11,54554906;2142,857143
ASUS VivoBook 15;ASUS;69900;20;2718,602419;0;12,67922794;1097,142857
MSI Thin GF63;MSI;188900;64;4491,934191;0;46,75459559;8571,428571
Acer Aspire 5;Acer;69900;20;612,3282582;0;28,75459559;2142,857143
ASUS VivoBook 14;ASUS;57900;12;3059,796176;0;13,20059122;548,5714286
Lenovo ThinkPad X1 Carbon Gen 11;Lenovo;259900;64;4857,479485;0;35,03800676;8571,428571
Acer Aspire 5;Acer;89900;16;3138,054716;0;28,75459559;466,6666667
MSI Raider GE78;MSI;359999;64;6043,230328;0;81,92538897;4285,714286
HP 17;HP;89900;16;3279,528958;0;25,98752411;2142,857143
MSI GF65 Thin;MSI;114900;24;3300,890712;0;46,75459559;2142,857143
AORUS 15;Aorus;440900;64;4681,425152;0;66,68834842;8571,428571
HP ZBook Firefly 14 G10 A;HP;190316;32;4471,043195;72,77244843;35,03800676;1097,142857
ASUS ROG Strix SCAR 15;ASUS;224900;32;4221,914683;0;80,18316702;4285,714286
HP 17;HP;98900;16;4233,092812;0;11,54554906;2142,857143
ASUS ROG Strix SCAR 17;ASUS;381900;32;6427,280758;0;77,71559443;4285,714286
